ID,Freq,W,L,Wf,Lf,S11
4000,2.898000002,48.37,37.59,3.06,21.79,-35.69241805
4023,2.90350008,48.27,37.51,3.06,21.74,-38.37526723
4045,2.90899992,48.16,37.43,3.06,21.7,-43.60722359
4066,2.914499998,48.06,37.35,3.06,21.65,-47.33174308
4077,2.920000076,48.01,37.31,3.06,21.63,-29.83731416
4087,3.062999964,45.61,35.42,3.06,20.55,-26.00496205
4106,3.073999882,45.52,35.34,3.06,20.51,-44.37106078
4125,3.07949996,45.43,35.27,3.06,20.47,-58.51127129
4144,3.085000038,45.34,35.2,3.06,20.43,-46.96024896
4162,3.090500116,45.25,35.13,3.06,20.38,-40.08417263
4181,3.095999956,45.16,35.06,3.06,20.34,-36.04958691
4190,3.101500034,45.12,35.02,3.06,20.33,-36.47047924
4209,3.107000113,45.03,34.95,3.06,20.28,-40.97496341
4229,3.112499952,44.94,34.88,3.06,20.24,-50.48297013
4248,3.118000031,44.85,34.82,3.06,20.21,-47.61898106
4267,3.123500109,44.76,34.75,3.06,20.16,-46.20541563
4286,3.128999949,44.67,34.68,3.06,20.13,-38.58374653
4304,3.134500027,44.59,34.61,3.06,20.09,-38.59582425
4313,3.140000105,44.54,34.57,3.06,20.07,-38.96875049
4332,3.145499945,44.46,34.51,3.06,20.03,-39.3256235
4351,3.151000023,44.37,34.44,3.06,19.99,-47.44271026
4370,3.156500101,44.28,34.37,3.06,19.95,-43.36891573
4389,3.161999941,44.2,34.3,3.06,19.91,-42.09427072
4399,3.167500019,44.15,34.27,3.06,19.89,-36.68718672
4416,3.173000097,44.07,34.2,3.06,19.85,-37.57354529
4430,3.178499937,43.98,34.13,3.06,19.82,-45.43688392
4438,3.184000015,43.9,34.07,3.06,19.78,-46.9866783
4445,3.189500093,43.82,34,3.06,19.74,-48.1408444
4452,3.194999933,43.73,33.93,3.06,19.7,-39.46900201
4459,3.200500011,43.65,33.87,3.06,19.66,-37.84094575
4462,3.20600009,43.61,33.84,3.06,19.65,-37.08221641
4469,3.211499929,43.52,33.77,3.06,19.61,-45.35983496
4476,3.217000008,43.44,33.7,3.06,19.57,-47.61555096
4483,3.222500086,43.36,33.64,3.06,19.53,-45.39289256
4490,3.227999926,43.28,33.57,3.06,19.5,-41.90946786
4500,3.239000082,43.15,33.48,3.06,19.44,-40.0665748
4507,3.244499922,43.07,33.41,3.06,19.4,-43.95679289
4514,3.25,42.99,33.35,3.06,19.37,-46.81761394
4521,3.255500078,42.91,33.29,3.06,19.33,-44.28600624
4528,3.260999918,42.83,33.22,3.06,19.3,-40.37285051
4535,3.266499996,42.75,33.16,3.06,19.26,-37.15559976
4540,3.272000074,42.71,33.13,3.06,19.24,-37.80563288
4547,3.277499914,42.63,33.06,3.06,19.2,-41.83292867
4554,3.282999992,42.55,33,3.06,19.17,-46.58892269
4561,3.288500071,42.47,32.94,3.06,19.13,-44.95420395
4568,3.29399991,42.39,32.88,3.06,19.1,-39.83133981
4575,3.299499989,42.31,32.81,3.06,19.06,-36.29187174
4580,3.305000067,42.27,32.78,3.06,19.04,-39.30132265
4587,3.310499907,42.19,32.72,3.06,19.01,-44.46641398
4594,3.315999985,42.12,32.66,3.06,18.97,-43.70456793
4601,3.321500063,42.04,32.6,3.06,18.94,-46.57587751
4608,3.326999903,41.96,32.54,3.06,18.9,-39.79495037
4616,3.332499981,41.88,32.48,3.06,18.87,-36.09546532
4624,3.338000059,41.81,32.42,3.06,18.84,-36.39253027
4629,3.343499899,41.77,32.39,3.06,18.82,-39.41522942
4636,3.348999977,41.69,32.33,3.06,18.78,-40.51665334
4643,3.354500055,41.62,32.27,3.06,18.75,-41.62588164
4650,3.359999895,41.54,32.21,3.06,18.72,-44.01213242
4657,3.365499973,41.47,32.15,3.06,18.68,-44.3708343
4660,3.513999939,39.66,30.73,3.06,17.87,-38.86021113
4665,3.519500017,39.63,30.7,3.06,17.85,-36.38096868
4681,3.530499935,39.49,30.59,3.06,17.79,-46.01316937
